Municipio,Total,65_ou_mais,ratio
Alcoutim,2917,1282,0.439492629
Penamacor,5682,2481,0.436642027
Vila Velha de Ródão,3521,1535,0.435955694
Idanha-a-Nova,9716,4169,0.429086044
Pampilhosa da Serra,4481,1893,0.422450346
Sabugal,12544,5154,0.410873724
Gavião,4132,1685,0.407792836
Vila de Rei,3452,1373,0.39774044
Oleiros,5721,2263,0.395560217
Mação,7338,2881,0.392613791
Vimioso,4669,1811,0.38787749
Nisa,7450,2826,0.379328859
Vinhais,9066,3420,0.37723362
Almeida,7242,2673,0.369096935
Melgaço,9213,3376,0.366438728
Crato,3708,1303,0.351402373
Freixo de Espada à Cinta,3780,1312,0.347089947
Mértola,7274,2513,0.345477042
Mêda,5202,1788,0.343713956
Torre de Moncorvo,8572,2945,0.343560429
Góis,4260,1450,0.340375587
Arronches,3165,1069,0.337756714
Pedrógão Grande,3915,1311,0.3348659
Alter do Chão,3562,1189,0.333801235
Mora,4978,1656,0.33266372
Proença-a-Nova,8314,2762,0.332210729
Castelo de Vide,3407,1129,0.331376578
Montalegre,10537,3481,0.330359685
Marvão,3512,1160,0.330296128
Alvaiázere,7287,2391,0.328118567
Ourique,5389,1759,0.326405641
Figueira de Castelo Rodrigo,6260,2043,0.326357827
Pinhel,9627,3139,0.326062117
Alfândega da Fé,5104,1660,0.32523511
Miranda do Douro,7482,2423,0.323843892
Gouveia,14046,4539,0.323152499
Mogadouro,9542,3083,0.323097883
Carrazeda de Ansiães,6373,2036,0.319472776
Fornos de Algodres,4989,1592,0.319102024
Valpaços,16882,5376,0.318445682
Boticas,5750,1827,0.31773913
Monchique,6045,1915,0.316790736
Castanheira de Pêra,3191,1000,0.313381385
Sousel,5074,1582,0.311785574
Vila Nova de Foz Côa,7312,2276,0.311269147
Arcos de Valdevez,22847,7057,0.308880816
Avis,4571,1406,0.307591337
Alandroal,5843,1777,0.304124594
Almodôvar,7449,2241,0.300845751
Trancoso,9878,2969,0.300566916
Aguiar da Beira,5473,1639,0.299470126
Arganil,12145,3632,0.299053108
Figueiró dos Vinhos,6169,1825,0.295834009
